id,marca,modelo,año,tipo,precio_cop,precio_usd,motor,potencia_hp,torque_nm,autonomia_km,bateria_kwh,carga_rapida_min,velocidad_max_kmh,aceleracion_0_100,traccion,pasajeros,maletero_litros,color_disponibles,garantia_años,garantia_bateria_años,tecnologia_conduccion,pantalla_pulgadas,camara_360,techo_panoramico,asientos_electricos,descripcion
1,BYD,Atto 3,2024,SUV Eléctrico,139900000,34000,Eléctrico Motor Único,204,310,420,60.5,35,160,7.3,Delantera,5,440,"Blanco, Negro, Azul, Rojo, Gris",6,8,BYD DiPilot (ADAS Nivel 2),12.8,Sí,Sí,Sí,"SUV eléctrico compacto con diseño futurista Ocean X. Batería Blade de fosfato de litio y hierro (LFP), la más segura del mercado. Interior con panel de instrumentos de 5 pulgadas y pantalla central rotatoria de 12.8 pulgadas. Sistema de audio de 8 altavoces. Suspensión trasera multibrazo. Ideal para uso urbano y viajes interurbanos."
2,BYD,Han,2024,Sedán Eléctrico,219900000,53500,Eléctrico Motor Dual (AWD),517,700,521,85.4,30,180,3.9,AWD Total,5,410,"Blanco, Negro, Gris Espacial, Azul Océano",6,8,BYD DiPilot Plus (ADAS Nivel 2+),15.6,Sí,Sí,Sí,"Sedán ejecutivo de alta gama con tecnología e-Platform 3.0. Motor dual con tracción total, aceleración deportiva de 3.9 segundos. Batería Blade 85.4 kWh con autonomía WLTP de 521 km. Pantalla AMOLED de 15.6 pulgadas. Sistema de audio Dynaudio premium de 12 altavoces. Suspensión neumática adaptativa. Carga bidireccional V2L de 3.3 kW."
3,BYD,Tang,2024,SUV Eléctrico 7 plazas,259900000,63200,Eléctrico Motor Dual (AWD),476,680,500,108.8,40,180,4.6,AWD Total,7,235,"Negro, Blanco Perla, Gris Titanio",6,8,BYD DiPilot Plus (ADAS Nivel 2+),15.6,Sí,Sí,Sí,"SUV de 7 plazas con la mayor batería de la gama BYD. Diseño imponente con faros LED de firma luminosa única. Tercera fila de asientos eléctrica. Maletero de 235 L con tercera fila desplegada o 940 L con ella plegada. Sistema de carga rápida de 100 kW CC. Suspensión trasera de doble horquilla. Frenos Brembo de alto rendimiento."
4,BYD,Dolphin,2024,Hatchback Eléctrico,99900000,24300,Eléctrico Motor Único,177,290,340,44.9,30,150,7.0,Delantera,5,345,"Azul Delfín, Blanco Nieve, Rojo Coral, Gris Urbano, Verde Menta",6,8,BYD DiPilot (ADAS Nivel 2),10.1,No,No,No,"Hatchback eléctrico de entrada pensado para la movilidad urbana. El más asequible de la gama BYD. Motor de 177 HP con batería Blade de 44.9 kWh. Pantalla central de 10.1 pulgadas giratoria. Sistema de carga AC de 7 kW. Frenos regenerativos con 4 modos ajustables. Diseño interior inspirado en los delfines con acabados en dos tonos."
5,BYD,Seal,2024,Sedán Eléctrico Deportivo,189900000,46200,Eléctrico Motor Dual (AWD),530,670,570,82.5,26,180,3.8,AWD Total,5,400,"Azul Océano, Negro Cosmos, Blanco Ártico, Gris Metálico",6,8,BYD DiPilot Plus (ADAS Nivel 2+),15.6,Sí,Sí,Sí,"Sedán deportivo con plataforma e-Platform 3.0 de última generación. El más rápido de la gama BYD con 3.8 segundos de 0 a 100 km/h. Batería Blade de 82.5 kWh integrada en el chasis como elemento estructural, mejorando la rigidez y bajando el centro de gravedad. Techo panorámico fijo de cristal. Sistema de amortiguadores inteligentes."
6,BYD,Yuan Plus,2024,SUV Eléctrico Compacto,124900000,30400,Eléctrico Motor Único,204,310,480,60.5,35,160,7.3,Delantera,5,430,"Blanco, Negro, Azul Eléctrico, Beige Champagne",6,8,BYD DiPilot (ADAS Nivel 2),12.3,No,Sí,No,"SUV compacto con el mismo motor y batería que el Atto 3 pero con diseño más orientado al mercado familiar. Pantalla de 12.3 pulgadas. 8 airbags estándar. Sistema de carga AC de 7 kW y DC de 80 kW. Sensor de punto ciego, asistencia de cambio de carril y control de crucero adaptativo incluidos de serie."
7,Tesla,Model 3,2024,Sedán Eléctrico,185000000,45000,Eléctrico Motor Dual (AWD),358,493,547,75.0,25,225,4.4,AWD Total,5,594,"Blanco Perla, Negro Sólido, Gris Plata, Azul Medianoche, Rojo Multicapa",4,8,Autopilot (ADAS Nivel 2+),15.4,No,Sí,Sí,"Sedán eléctrico con la mayor red de supercargadores del mundo (Supercharger V3). Pantalla central de 15.4 pulgadas como único elemento de control. Actualizaciones OTA continuas. Motor Dual con tracción total en versión Long Range. Autopilot incluido de serie con opción de Full Self-Driving. Techo de cristal templado de extremo a extremo."
8,Tesla,Model Y,2024,SUV Eléctrico,215000000,52300,Eléctrico Motor Dual (AWD),393,493,533,75.0,25,217,4.8,AWD Total,5,854,"Blanco Perla, Negro Sólido, Gris Plata, Azul Medianoche, Rojo",4,8,Autopilot (ADAS Nivel 2+),15.4,No,Sí,Sí,"El SUV eléctrico más vendido del mundo. Comparte plataforma con el Model 3 pero con mayor altura libre y maletero de 854 L (el mayor en su categoría). Tercera fila opcional (+7 plazas). Red Supercharger con más de 50.000 puntos en el mundo. Versión Standard Range con autonomía de 430 km y precio de entrada más bajo."
9,Renault,Megane E-Tech,2024,Hatchback Eléctrico,149900000,36500,Eléctrico Motor Único,218,300,450,60.0,30,160,7.4,Delantera,5,440,"Blanco Glaciar, Gris Cassio, Azul Iron, Rojo Flamme",3,8,OpenR Link (ADAS Nivel 2),9.0,No,Sí,No,"El primer vehículo diseñado nativamente sobre la plataforma CMF-EV de Renault. Interior diseñado alrededor del sistema de infoentretenimiento OpenR con dos pantallas de 9 pulgadas. Carga rápida de 130 kW DC. Sistema de calefacción por bomba de calor de serie para optimizar la autonomía en invierno. Integración Google nativa con Maps, Assistant y Play Store."
10,Renault,Zoe,2024,City Car Eléctrico,89900000,21900,Eléctrico Motor Único,109,245,390,52.0,50,135,11.4,Delantera,5,338,"Blanco, Gris, Azul, Rojo, Naranja",3,8,Básico (sin ADAS),9.3,No,No,No,"City car eléctrico ideal para movilidad urbana con el precio más bajo de la categoría. Batería Z.E. 50 de 52 kWh con autonomía de 390 km WLTP. Carga AC de hasta 22 kW (la más rápida en AC del mercado). Sin carga DC rápida. Sistema Eco Mode que limita la velocidad a 100 km/h y maximiza la autonomía. Ideal para conductores de ciudad sin necesidad de viajes largos."
11,Chevrolet,Bolt EV,2024,Hatchback Eléctrico,109900000,26700,Eléctrico Motor Único,200,360,417,65.0,60,145,6.5,Delantera,5,364,"Plata Estelar, Blanco Resumen, Negro Medianoche, Azul Cacería",3,8,Super Cruise Ready (ADAS Nivel 2),10.2,No,No,No,"Hatchback eléctrico con la mejor relación autonomía-precio de su segmento. Batería de 65 kWh con carga rápida de 55 kW DC (de 10% a 80% en 60 minutos). Pantalla táctil de 10.2 pulgadas con Android Auto e Apple CarPlay inalámbrico. Sistema de frenado regenerativo en un solo pedal (modo one-pedal driving). Garantía de batería de 8 años/160.000 km."
12,Hyundai,IONIQ 6,2024,Sedán Eléctrico,195000000,47400,Eléctrico Motor Dual (AWD),320,605,614,77.4,18,185,5.1,AWD Total,5,526,"Gris Urbano, Azul Nocturno, Blanco Óptico, Verde Jade, Negro Abyss",5,8,Highway Driving Assist 2 (ADAS Nivel 2+),12.3,No,Sí,Sí,"Sedán aerodinámico con el Cx más bajo de su categoría (0.21). La carga ultra-rápida de 800V permite pasar de 10% a 80% en solo 18 minutos. Tecnología Vehicle-to-Load (V2L) para alimentar dispositivos externos hasta 3.6 kW. Interior con tiras LED ambientales de 64 colores. Modo de carga inteligente que aprende los hábitos del conductor."
13,Hyundai,IONIQ 5,2024,SUV Eléctrico,175000000,42600,Eléctrico Motor Dual (AWD),305,605,507,72.6,18,185,5.1,AWD Total,5,531,"Blanco Atlas, Negro Phantom, Gris Shooting Star, Verde Gravity, Azul Digital",5,8,Highway Driving Assist 2 (ADAS Nivel 2+),12.3,Sí,Sí,Sí,"SUV de diseño retro-futurista con plataforma E-GMP de 800V. Espacio interior maximizado gracias a la plataforma de piso plano. Carga bidireccional V2L de 3.6 kW. Techo solar con paneles fotovoltaicos opcionales. Interior espacioso equivalente a un SUV de segmento D en carrocería de segmento C. Reconocido como Coche del Año Mundial 2022."
14,Kia,EV6,2024,Crossover Eléctrico,179000000,43500,Eléctrico Motor Dual (AWD),325,605,506,77.4,18,185,5.2,AWD Total,5,480,"Azul Glaciar, Gris Grafito, Blanco Nieve, Verde Aurora, Negro",5,8,Highway Driving Assist 2 (ADAS Nivel 2+),12.3,Sí,Sí,Sí,"Crossover eléctrico hermano del IONIQ 5, comparte plataforma E-GMP 800V. Diseño deportivo tipo fastback. Carga ultra-rápida de 800V a 240 kW en estaciones compatibles. V2L de 3.6 kW. Versión GT con 577 HP disponible bajo pedido. Elegido Coche del Año Europeo 2022. Sistema de sonido Meridian premium opcional."
15,Volkswagen,ID.4,2024,SUV Eléctrico,169900000,41300,Eléctrico Motor Único,204,310,520,77.0,35,160,8.5,Trasera,5,543,"Blanco Glaciar, Gris Plata, Azul Kings, Verde Emerald, Negro",3,8,Travel Assist (ADAS Nivel 2),12.0,No,Sí,No,"SUV eléctrico de Volkswagen con tracción trasera estándar (única en su categoría). Plataforma MEB con batería de 77 kWh. Pantalla de 12 pulgadas con sistema operativo nativo ID. Software OTA. Versión AWD con motor adicional delantero disponible. Techo panorámico opcional. El interior más silencioso de su segmento según pruebas independientes."
16,BYD,Yangwang U8,2024,SUV Lujo Off-Road,890000000,216600,Eléctrico Motor Cuádruple (4WD),1100,1600,180,49.0,45,200,3.6,4WD Integral,5,452,"Negro Estelar, Gris Titanio",6,8,Yangwang Advanced ADAS,15.6,Sí,Sí,Sí,"SUV de ultra lujo y alto rendimiento off-road con motor cuádruple e-4WD. Único en su clase con modo tanque (giro sobre su eje) y modo flotación (puede flotar y moverse en agua). Blindaje opcionales disponibles. Pantalla principal de 15.6 pulgadas + pantallas secundarias. Sistema de suspensión neumática con 5 alturas ajustables. Precio incluye instalación de cargador residencial de 22 kW."
17,Porsche,Taycan,2024,Sedán Eléctrico Deportivo,420000000,102200,Eléctrico Motor Dual (AWD),630,870,503,93.4,23,260,3.7,AWD Total,4,419,"Blanco Carrara, Negro Jet, Gris Chalk, Azul Gentian, Rojo Carmine",4,8,Porsche Active Safe (ADAS Nivel 2+),16.8,No,Sí,Sí,"El eléctrico deportivo de referencia. Único con arquitectura de 800V desde 2019. Sistema de carga de 270 kW DC (el más rápido del mercado). Suspensión neumática PASM de serie. Frenos cerámicos compuestos opcionales. Modo Sport Plus con 630 HP. Sistema de sonido Burmester 3D de 21 altavoces. Configuación interior totalmente personalizable. Fabricado 100% con energía renovable en Stuttgart."
18,BMW,iX,2024,SUV Eléctrico Premium,389000000,94600,Eléctrico Motor Dual (AWD),523,765,625,111.5,35,200,4.6,AWD Total,5,500,"Blanco Alpino, Negro Zafiro, Gris Mineral, Azul Phytonic, Rojo Melbourne",4,8,BMW Personal CoPilot (ADAS Nivel 2+),14.9,Sí,Sí,Sí,"SUV eléctrico de ultra lujo con la mayor batería de BMW (111.5 kWh). Carrocería de fibra de carbono y aluminio reciclado. Techo panorámico Sky Lounge de cristal prismático. Sistema de audio Bowers & Wilkins Diamond Surround de 30 altavoces. Carga inalámbrica de 7 kW para smartphones. Pantalla curva BMW Curved Display de 14.9 pulgadas. Habitáculo de madera de olivo sostenible."
19,Mercedes,EQS,2024,Sedán Eléctrico Lujo,520000000,126500,Eléctrico Motor Dual (AWD),523,858,770,107.8,31,210,4.3,AWD Total,5,610,"Blanco Polar, Negro Obsidiana, Gris Selenita, Azul Spektral, Verde Alpino",4,8,Drive Pilot (ADAS Nivel 3),17.7,Sí,Sí,Sí,"El sedán eléctrico de mayor autonomía del mundo (770 km WLTP). Único con ADAS Nivel 3 certificado (Drive Pilot) que permite manos libres hasta 60 km/h. Hyperscreen MBUX de 56 pulgadas que abarca todo el tablero. Sistema de purificación de aire HEPA. Suspensión neumática airmatic de cuatro ruedas. Carga bidireccional V2H (vehicle-to-home) de 11 kW. El interior más silencioso de cualquier vehículo producido en serie."
